TRADE_ID,PRICE,QUANTITY,BUYER_ORDER_ID,SELLER_ORDER_ID,TRADE_TIME,IS_BUYER_MARKET_MAKER,TRADE_YEAR,TRADE_MONTH,TRADE_DAY,TRADE_HOUR,TRADE_MINUTE,TRADE_SECOND
3234644338,0.7590662417090357,2.4427580366739406e-05,22680784005,22680772150,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644339,0.7594108019640373,3.257010715565254e-05,22680784005,22680772293,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644340,0.7594108019640373,3.562355470149496e-05,22680784005,22680772369,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644341,0.7595830820914955,2.137413282089698e-05,22680784005,22680771519,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644342,0.7600137824102262,3.562355470149496e-05,22680784005,22680772376,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644343,0.7604444827289569,2.4427580366739406e-05,22680784005,22680772163,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644344,0.7604444827289569,3.257010715565254e-05,22680784005,22680772313,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644345,0.7606167628564435,3.562355470149496e-05,22680784005,22680772226,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644346,0.7612197433026324,3.562355470149496e-05,22680784005,22680772254,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644347,0.7614781634938481,3.257010715565254e-05,22680784005,22680772333,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644348,0.7616504436213631,4.8855160733478806e-05,22680784005,22680783915,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644349,0.7618227237488497,2.4427580366739406e-05,22680784005,22680772191,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644350,0.7618227237488497,3.562355470149496e-05,22680784005,22680772273,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644351,0.762253424067552,0.005795443442008923,22680784082,22680784033,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644352,0.762253424067552,0.007122675308601764,22680784110,22680784033,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644353,0.7621672840038229,0.0005282464254307396,22680784005,22680784202,2023-10-10 12:39:53,1,2023,10,10,12,39,53
3234644354,0.7621672840038229,0.00022697293424095362,22680784006,22680784202,2023-10-10 12:39:53,1,2023,10,10,12,39,53
3234644355,0.7621672840038229,7.837182034328893e-05,22680784006,22680784238,2023-10-10 12:39:53,1,2023,10,10,12,39,53
3234644356,0.7621672840038229,0.0004966941341237013,22680784006,22680784252,2023-10-10 12:39:53,1,2023,10,10,12,39,53
3234644357,0.7621672840038229,6.717584600853336e-05,22680784006,22680784285,2023-10-10 12:39:53,1,2023,10,10,12,39,53
3234644358,0.7621672840038229,0.00010788847995309904,22680784006,22680784348,2023-10-10 12:39:53,1,2023,10,10,12,39,53
3234644359,0.762253424067552,4.987297658209295e-05,22680784356,22680784033,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644126,0.721423033853057,4.783734488486467e-05,22680783186,22680779006,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644127,0.721423033853057,4.8855160733478806e-05,22680783186,22680779007,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644128,0.721423033853057,4.8855160733478806e-05,22680783186,22680779341,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644129,0.721423033853057,4.783734488486467e-05,22680783186,22680780297,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644130,0.721423033853057,0.00018320685275054555,22680783186,22680781092,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644131,0.721423033853057,0.009472812103051818,22680783186,22680781283,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644132,0.721423033853057,0.0009445331075139237,22680783186,22680781353,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644133,0.721423033853057,0.0023297804774777705,22680783186,22680782252,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644134,0.721423033853057,0.003987802494870208,22680783186,22680782258,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644135,0.721423033853057,0.009849403967039053,22680783186,22680782759,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644136,0.721423033853057,0.0037129922157443894,22680783186,22680782881,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644137,0.721423033853057,5.8015503371006084e-05,22680783186,22680782960,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644138,0.721423033853057,0.02715939810441976,22680783194,22680782960,2023-10-10 12:39:53,0,2023,10,10,12,39,53
3234644139,0.721423033853057,0.0715035989968407,22680783194,22680782968,2023-10-10 12:39:53,0,2023,10,10,12,39,53
